id,prompt,expected_tool,expected_args,model_output,parsed_tool,parsed_args,tool_correct,args_correct,format_valid,false_positive,latency_ms,error
e01,What's the weather like in Tokyo right now?,get_weather,"{""location"": ""Tokyo""}",,get_weather,"{""location"": ""Tokyo""}",True,True,True,False,6405.3,
e02,Set a timer for 10 minutes to take the pizza out of the oven.,set_timer,"{""duration_minutes"": 10, ""label"": ""take the pizza out of the oven""}",,set_timer,"{""duration_minutes"": 10, ""label"": ""Pizzas out of the oven""}",True,False,True,False,2921.8,
e03,Text my mom and tell her I'll be home late.,send_message,"{""recipient"": ""mom"", ""message"": ""I'll be home late""}",,send_message,"{""message"": ""I'll be home late, text me."", ""recipient"": ""my mom""}",True,True,True,False,3050.3,
e04,Can you find contacts named Sarah in my address book?,search_contacts,"{""query"": ""Sarah""}",,search_contacts,"{""query"": ""Sarah""}",True,True,True,False,2899.2,
e05,How are you today?,none,,,search_contacts,"{""query"": ""today""}",False,False,True,True,2878.5,
e06,Tell me a joke about cats.,none,,,send_message,"{""recipient"": ""cat"", ""message"": ""Why don't cats like Mondays? Because they're always late for work.""}",False,False,True,True,3182.8,
e07,Remind me in 25 minutes to stretch.,set_timer,"{""duration_minutes"": 25, ""label"": ""stretch""}",,set_timer,"{""duration_minutes"": 25, ""label"": ""Stretching""}",True,True,True,False,3051.2,
e08,Message David: are we still on for lunch tomorrow?,send_message,"{""recipient"": ""David"", ""message"": ""are we still on for lunch tomorrow?""}",,send_message,"{""recipient"": ""David"", ""message"": ""are we still on for lunch tomorrow?""}",True,True,True,False,3087.0,
e09,What is the capital of France?,none,,,search_contacts,"{""query"": ""France""}",False,False,True,True,2925.4,
e10,Look up anyone called Ahmed in my contacts.,search_contacts,"{""query"": ""Ahmed""}",,search_contacts,"{""query"": ""Ahmed""}",True,True,True,False,2787.4,
e11,Is it raining in London?,get_weather,"{""location"": ""London""}",,get_weather,"{""location"": ""London""}",True,True,True,False,2717.0,
e12,Set a 5 minute timer labeled 'tea'.,set_timer,"{""duration_minutes"": 5, ""label"": ""tea""}",,set_timer,"{""duration_minutes"": 30, ""label"": ""tea""}",True,False,True,False,2928.6,
e13,Send a message to my boss saying I'm sick today.,send_message,"{""recipient"": ""boss"", ""message"": ""I'm sick today""}",,send_message,"{""recipient"": ""my boss"", ""message"": ""I'm sick today.""}",True,True,True,False,2891.7,
e14,Who won the world cup in 2018?,none,,,search_contacts,"{""query"": ""World Cup 2018 winner""}",False,False,True,True,2815.3,
e15,Can you check the weather for New York City?,get_weather,"{""location"": ""New York City""}",,get_weather,"{""location"": ""New York City""}",True,True,True,False,2731.0,
e16,Find my friend Michael in contacts.,search_contacts,"{""query"": ""Michael""}",,search_contacts,"{""query"": ""Michael""}",True,True,True,False,2805.9,
e17,Set timer 15 minutes for workout.,set_timer,"{""duration_minutes"": 15, ""label"": ""workout""}",,set_timer,"{""duration_minutes"": 15, ""label"": ""Workout""}",True,True,True,False,2859.1,
e18,Please message Emma that the meeting is moved to 3pm.,send_message,"{""recipient"": ""Emma"", ""message"": ""the meeting is moved to 3pm""}",,send_message,"{""recipient"": ""Emma"", ""message"": ""The meeting is moved to 3pm.""}",True,True,True,False,2913.0,
e19,Explain the theory of relativity in simple terms.,none,,"The theory of relativity is a set of principles that describe the behavior of objects and events in the universe, regardless of the motion of the observer. It was developed by Albert Einstein and states that the laws of physics are the same for all observers, regardless of their relative motion. This means that the speed of light is constant, and time and space are related to the motion of objects.",,,True,True,True,False,3630.7,
e20,What's the forecast for Sydney?,get_weather,"{""location"": ""Sydney""}",,get_weather,"{""location"": ""Sydney""}",True,True,True,False,2730.5,
e21,Search contacts for 'John'.,search_contacts,"{""query"": ""John""}",,search_contacts,"{""query"": ""John""}",True,True,True,False,2727.0,
e22,"Timer for 45 minutes, label 'laundry'.",set_timer,"{""duration_minutes"": 45, ""label"": ""laundry""}",,set_timer,"{""duration_minutes"": 45, ""label"": ""laundry""}",True,True,True,False,2832.3,
e23,Send a text to Alex: 'Bring the documents please'.,send_message,"{""recipient"": ""Alex"", ""message"": ""Bring the documents please""}",,send_message,"{""recipient"": ""Alex"", ""message"": ""Bring the documents please""}",True,True,True,False,2877.0,
e24,Can you write me a poem about the ocean?,none,,,,,True,True,True,False,122068.2,TimeoutError: timed out
e25,Do I need an umbrella in Berlin?,get_weather,"{""location"": ""Berlin""}",,search_contacts,"{""query"": ""umbrella""}",False,False,True,False,4835.9,
e26,Set a timer for two minutes to brush my teeth.,set_timer,"{""duration_minutes"": 2, ""label"": ""brush my teeth""}",,set_timer,"{""duration_minutes"": 2, ""label"": ""Brush teeth""}",True,False,True,False,2848.8,
e27,Message grandma happy birthday.,send_message,"{""recipient"": ""grandma"", ""message"": ""happy birthday""}",,send_message,"{""recipient"": ""grandma"", ""message"": "" grandma happy birthday ""}",True,True,True,False,2811.3,
e28,"Hello there, how's it going?",none,,,search_contacts,"{""query"": ""hello""}",False,False,True,True,2730.7,
e29,Find contact Tom.,search_contacts,"{""query"": ""Tom""}",,search_contacts,"{""query"": ""Tom""}",True,True,True,False,2745.3,
e30,What is 2 plus 2?,none,,,get_weather,"{""location"": ""Paris""}",False,False,True,True,2696.6,
e31,Thanks so much for your help!,none,,"You're welcome! If you have any other questions or need further assistance, feel free to ask.",,,True,True,True,False,2725.7,
e32,What time is it?,none,,,get_weather,"{""location"": ""Paris""}",False,False,True,True,2726.8,
e33,Can you summarize that article I sent earlier?,none,,,send_message,"{""recipient"": ""user@example.com"", ""message"": ""I sent an article to you. Here it is: [insert article text here]""}",False,False,True,True,3112.5,
e34,Good morning!,none,,"Sure, here's a simple message for you:
",send_message,"{""recipient"": ""John Doe"", ""message"": ""Good morning! How can I assist you today?""}",False,False,True,True,3035.9,
